[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,48,48]
[1][1,(0, 1),0,E,1,47,48]
[4][3,(1, 1),1,S,2,46,49]
[11][4,(1, 2),4,E,3,45,49]
[13][5,(1, 3),11,E,4,44,49]
[17][6,(2, 3),13,S,5,43,49]
[32][7,(3, 3),17,S,6,42,49]
[37][8,(3, 4),32,E,7,41,49]
[41][9,(4, 4),37,S,8,40,49]
[45][10,(5, 4),41,S,9,39,49]
[47][11,(6, 4),45,S,10,38,49]
[50][12,(7, 4),47,S,11,37,49]
[53][13,(7, 5),50,E,12,36,49]
[57][14,(7, 6),53,E,13,35,49]
[60][16,(8, 6),57,S,14,34,50]
[103][17,(8, 7),60,E,15,33,50]
[106][18,(8, 8),103,E,16,32,50]
[109][19,(8, 9),106,E,17,31,50]
[114][20,(9, 9),109,S,18,30,50]
[120][22,(10, 9),114,S,19,29,51]
[177][23,(11, 9),120,S,20,28,51]
[180][24,(11, 10),177,E,21,27,51]
[184][26,(11, 11),180,E,22,26,52]
[244][27,(11, 12),184,E,23,25,52]
[248][31,(11, 13),244,E,24,24,55]
[431][32,(11, 14),248,E,25,23,55]
[434][33,(11, 15),431,E,26,22,55]
[439][34,(12, 15),434,S,27,21,55]
[461][35,(13, 15),439,S,28,20,55]
[487][36,(14, 15),461,S,29,19,55]
[493][37,(15, 15),487,S,30,18,55]
[508][38,(16, 15),493,S,31,17,55]
[521][39,(17, 15),508,S,32,16,55]
[528][40,(17, 16),521,E,33,15,55]
[531][41,(17, 17),528,E,34,14,55]
[535][42,(18, 17),531,S,35,13,55]
[550][43,(19, 17),535,S,36,12,55]
[558][44,(20, 17),550,S,37,11,55]
[561][45,(21, 17),558,S,38,10,55]
[564][46,(21, 18),561,E,39,9,55]
[568][47,(21, 19),564,E,40,8,55]
[571][48,(21, 20),568,E,41,7,55]
[575][52,(21, 21),571,E,42,6,58]
[991][53,(21, 22),575,E,43,5,58]
[995][54,(22, 22),991,S,44,4,58]
[1014][55,(22, 23),995,E,45,3,58]
[1018][56,(22, 24),1014,E,46,2,58]
[1022][57,(23, 24),1018,S,47,1,58]
[1032][61,(24, 24),1022,S,48,0,61]
